team_name,year,win_times,sum_score,sum_rebs,sum_assit
MIA,1996,50,8010,3606,1786
MIA,1997,58,7812,3318,1760
MIA,1998,35,4986,2224,1159
MIA,1999,52,7181,3249,1703
MIA,2000,51,7824,3535,1836
MIA,2001,38,6883,3195,1604
MIA,2002,41,7306,3569,1638
MIA,2003,27,7183,3453,1511
MIA,2004,53,7794,3382,1713
MIA,2005,53,8274,3539,1715
MIA,2006,47,7918,3447,1665
MIA,2007,39,7874,3318,1700
MIA,2008,24,7471,3076,1623
MIA,2009,42,8070,3235,1632
MIA,2010,56,8457,3672,1673
MIA,2011,37,5341,2161,1050
MIA,2012,63,9069,3711,1883
MIA,2013,69,8686,3165,1981
MIA,2014,44,8267,3084,1753
MIA,2015,41,7645,3348,1586
MIA,2016,30,5198,2291,1097
MIL,1985,22,3957,1475,921
MIL,1986,54,8682,3396,1965
MIL,1987,46,8463,3266,1987
MIL,1988,42,8826,3454,2159
MIL,1989,49,9075,3399,2106
MIL,1990,50,8902,3470,2080
MIL,1991,41,8629,3231,2102
MIL,1992,28,8204,3276,1958
MIL,1993,25,8422,3289,2042
MIL,1994,21,7969,3203,1872
MIL,1995,35,8037,3242,1735
MIL,1996,30,8071,3314,1787
MIL,1997,32,7721,3164,1605
MIL,1998,22,5029,2111,1067
MIL,1999,45,7625,3155,1706
MIL,2000,41,8087,3377,1764
MIL,2001,54,8145,3430,1886
MIL,2002,36,8354,3518,1887
MIL,2003,44,8019,3291,1866
MIL,2004,35,7610,3226,1702
MIL,2005,37,8122,3468,1737
MIL,2006,40,8581,3403,1910
MIL,2007,23,7807,3245,1715
MIL,2008,30,8291,3624,1799
MIL,2009,31,7877,3171,1762
MIL,2010,46,7801,3520,1617
MIL,2011,25,5119,2217,1095
MIL,2012,45,9018,3914,2111
MIL,2013,29,8204,3651,1883
MIL,2014,25,8234,3428,1870
MIL,2015,37,8068,3471,1978
MIL,2016,20,4798,2048,1100
MIN,1989,6,2784,1116,659
MIN,1990,24,7530,3213,1763
MIN,1991,25,8253,3432,1930
MIN,1992,16,8016,3183,1988
MIN,1993,22,8396,3334,2069
MIN,1994,18,7612,3106,1857
MIN,1995,22,8000,3117,1840
MIN,1996,31,8147,3364,1897
MIN,1997,43,7983,3315,1963
MIN,1998,30,5386,2251,1345
MIN,1999,38,7255,3313,1919
MIN,2000,54,8446,3601,2242
MIN,2001,50,7944,3492,2112
MIN,2002,47,8189,3690,1967
MIN,2003,54,7914,3433,2046
MIN,2004,54,7592,3497,1795
MIN,2005,42,7747,3369,1873
MIN,2006,32,7643,3298,1746
MIN,2007,23,8059,3442,1808
MIN,2008,24,8007,3410,1692
